Data,Label
824.25,0
824.25,0
51.78,0
51.78,0
51.78,0
51.78,0
669.75,0
824.25,0
824.25,0
824.25,0
51.8,0
51.8,0
51.8,0
51.8,0
669.78,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
326.36,0
51.8,0
51.8,0
51.8,0
51.8,0
329.82,0
51.8,0
51.8,0
51.8,0
51.8,0
669.78,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
814.72,0
1005.46,0
1005.46,0
1005.46,0
1005.46,0
1005.46,0
51.8,0
51.8,0
51.8,0
51.8,0
518.99,0
518.99,0
51.8,0
51.8,0
51.8,0
51.8,0
669.78,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
518.99,0
518.89,0
51.57,0
51.57,0
51.57,0
51.57,0
814.48,0
814.48,0
1005.3,0
1005.3,0
1005.3,0
1005.3,0
51.65,0
51.65,0
51.65,0
51.65,0
814.57,0
1005.3,0
1005.34,0
1005.3,0
1005.3,0
51.65,0
51.65,0
51.65,0
51.65,0
814.57,0
1005.3,0
1005.3,0
940.29,0
1005.3,0
1005.3,0
51.65,0
51.65,0
51.65,0
51.65,0
394.87,0
51.56,0
51.56,0
51.56,0
51.56,0
669.54,0
824.14,0
824.14,0
824.14,0
51.67,0
51.67,0
51.67,0
51.67,0
425.4,0
518.86,0
51.67,0
51.67,0
51.67,0
51.67,0
425.4,0
518.86,0
51.67,0
51.67,0
51.67,0
51.67,0
669.64,0
824.14,0
824.14,0
824.14,0
51.67,0
51.67,0
51.67,0
51.67,0
425.41,0
518.75,0
51.57,0
51.57,0
51.57,0
51.57,0
814.48,0
1005.22,0
1005.22,0
1005.22,0
1005.22,0
1005.22,0
51.54,0
51.54,0
51.54,0
51.54,0
814.46,0
1005.32,0
1005.29,0
